,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,n1,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
1,70,20,60,75,40,30,20,25,35,2,50,65,55,50,3,50,50,50,15,30,60,12,60,75,35,40,18,20,35,0,44,65,55,50,3,50,50,50,18,25,8,30,19,15,15,19,38,28,22,0,27,8,30,25,33,23,18,19,10
2,70,20,60,75,48,35,18,22,32,2,45,63,58,51,4,52,50,55,15,28,70,18,63,75,38,33,16,23,31,1,46,62,57,51,3,51,50,53,16,27,10,35,20,20,18,20,40,30,18,10,28,12,30,20,25,22,17,15,10
3,70,20,60,75,40,30,20,25,33,1,50,60,60,50,4,60,50,55,25,25,64,14,60,75,40,36,16,22,36,0,44,55,54,50,2,50,46,50,18,28,8,40,40,30,25,60,60,70,60,15,50,20,70,40,60,60,50,45,10
4,82,57,66,75,40,32,20,24,32,1,47,62,60,50,1,51,50,56,15,27,69,10,70,75,30,40,15,20,30,0,40,60,50,40,4,50,35,55,15,23,30,60,50,60,60,70,90,50,60,0,70,50,60,50,80,90,60,60,50
5,70,20,63,75,38,35,16,23,33,2,48,57,60,50,5,52,42,55,15,30,70,15,60,75,35,35,15,22,30,1,42,65,50,50,2,50,50,55,15,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,70,20,62,73,38,34,17,24,30,2,49,64,59,50,2,54,51,48,15,28,66,21,50,63,34,32,14,20,26,5,40,46,57,64,3,56,32,40,18,24,18,40,32,35,38,70,86,50,47,0,56,36,45,45,60,76,43,55,34
7,70,20,65,75,40,35,15,25,30,2,51,62,59,50,3,53,50,55,15,26,65,17,60,70,32,36,7,12,34,14,44,64,63,45,2,45,62,45,16,25,15,30,15,15,18,20,38,33,25,8,32,17,30,20,23,22,17,16,14
8,80,15,60,90,45,55,20,50,30,2,60,58,60,70,5,60,90,65,35,40,80,5,60,90,40,50,15,50,90,10,50,90,75,85,20,60,80,70,40,75,80,95,90,78,35,95,95,85,40,0,85,30,90,70,90,90,60,90,30
9,80,20,60,75,40,25,20,25,30,5,50,10,60,50,5,50,50,55,15,25,65,10,60,75,35,38,10,21,30,0,40,60,50,50,0,55,55,55,18,22,40,90,25,30,25,60,70,50,30,0,40,35,60,45,50,50,35,40,15
10,70,20,65,75,40,35,20,25,30,2,50,60,55,50,2,50,55,55,15,25,64,17,60,75,35,30,15,25,35,0,40,60,55,50,2,50,55,50,10,25,5,40,30,20,15,20,40,35,15,10,25,10,30,35,20,20,15,10,15
11,10,50,33,5,60,40,80,50,10,1,50,10,33,33,10,30,20,40,60,70,85,50,30,95,50,35,10,55,90,1,60,90,70,80,5,80,80,50,60,50,75,95,95,80,70,90,98,98,18,66,90,66,90,75,80,85,85,90,60
12,70,20,63,84,44,46,17,23,42,1,45,62,49,52,3,53,52,56,16,28,70,20,60,75,38,35,14,21,33,1,44,57,59,50,3,52,49,47,16,25,12,26,13,15,18,20,35,30,21,7,25,10,22,11,15,13,8,9,5
13,370,120,190,1500,80,110,20,105,1000,2,125,700,120,115,15,220,560,55,45,45,400,100,230,1500,80,140,10,100,680,0,110,900,130,167,5,167,800,130,90,60,240,1000,1000,400,350,1600,1400,2100,550,190,1700,280,1600,460,800,950,700,1000,360
15,70,20,60,75,40,35,15,20,30,2,45,60,60,50,3,50,55,55,15,25,65,15,60,78,35,30,15,21,30,0,42,65,60,50,1,50,55,55,10,40,12,25,16,20,25,20,40,30,25,10,25,20,30,20,30,25,20,20,15
16,140,20,100,175,55,105,30,75,150,2,60,180,100,90,10,140,170,75,50,50,120,55,100,175,50,75,20,75,150,0,75,150,80,90,10,90,150,80,50,50,100,175,160,120,133,180,180,180,150,0,160,66,150,95,165,170,150,175,40
17,70,15,62,83,37,35,17,22,33,1,46,63,59,51,3,52,50,56,15,28,70,19,62,74,37,35,14,23,33,2,44,63,59,53,1,52,51,55,16,26,10,31,24,15,16,27,42,26,15,8,28,12,30,17,23,21,9,12,5
