,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r1Error,r2Error,r3Error,r4Error,r5Error,r6Error,r7Error,r8Error,r9Error,r10Error,r11Error,r12Error,r13Error,r14Error,r15Error,r16Error,r17Error,r18Error,r19Error,r20Error
1,60,12,60,75,35,40,18,20,35,0,44,65,55,50,3,50,50,50,18,25,6.324180546618741,6.037294805569611,5.20945336562895,6.6627107559955165,4.3361022374245195,5.495855026887171,3.084334599707773,5.669430220493783,6.876590029569037,1.246220181834988,5.035257324786331,6.625874851354262,5.159871336778389,5.506275135937069,3.6449655285767033,5.536714904819353,6.74211506827759,5.037020488850096,5.119214181108779,4.805044177135628
2,70,18,63,75,38,33,16,23,31,1,46,62,57,51,3,51,50,53,16,27,6.1318569606087925,5.899079425238581,5.087462841250339,6.6627107559955165,4.104123911038084,5.703903573444664,3.3897855599595563,5.581779977531495,6.924883180643928,0.4564813210019876,4.944468053424995,6.669046098236026,5.076815597050831,5.474179762148696,3.6449655285767033,5.505296975162707,6.74211506827759,4.898777525035299,5.1999305915104435,4.69795107021572
3,64,14,60,75,40,36,16,22,36,0,44,55,54,50,2,50,46,50,18,28,6.250298417906333,5.992678268758662,5.20945336562895,6.6627107559955165,3.925758674183727,5.618385502258606,3.3897855599595563,5.61159234060377,6.8642598549642155,1.246220181834988,5.035257324786331,6.765022334693272,5.199672344836364,5.506275135937069,3.755914696967196,5.536714904819353,6.795040598980528,5.037020488850096,5.119214181108779,4.641267906584209
4,69,10,70,75,30,40,15,20,30,0,40,60,50,40,4,50,35,55,15,23,6.152284842306582,6.0805728302156465,4.754887502163468,6.6627107559955165,4.655206622529105,5.495855026887171,3.521250431695509,5.669430220493783,6.936708039099321,1.246220181834988,5.20130712692731,6.697125534562674,5.348728154231077,5.793170264868645,3.52476771880241,5.536714904819353,6.931305752936415,4.798660596869802,5.238656145623683,4.904734015546278
5,70,15,60,75,35,35,15,22,30,1,42,65,50,50,2,50,50,55,15,35,6.1318569606087925,5.969841674192497,5.20945336562895,6.6627107559955165,4.3361022374245195,5.647458426454921,3.521250431695509,5.61159234060377,6.936708039099321,0.4564813210019876,5.1206698866402585,6.625874851354262,5.348728154231077,5.506275135937069,3.755914696967196,5.536714904819353,6.74211506827759,4.798660596869802,5.238656145623683,4.166328908301031
6,66,21,50,63,34,32,14,20,26,5,40,46,57,64,3,56,32,40,18,24,6.211888294546004,5.824666555702024,5.554588851677638,6.824201102111315,4.405819754579171,5.731319031025064,3.6417297237152586,5.669430220493783,6.9830614582393595,1.5249708380448488,5.20130712692731,6.8797224722947625,5.076815597050831,4.9750845699604564,3.6449655285767033,5.337043684053061,6.966339060689261,5.4206092881153145,5.119214181108779,4.855749992707072
7,65,17,60,70,32,36,7,12,34,14,44,64,63,45,2,45,62,45,16,25,6.231221180711185,5.923054560734609,5.20945336562895,6.732207812966297,4.535895175706662,5.618385502258606,4.284039460264469,5.880054410636204,6.888815715183574,3.57019683232518,5.035257324786331,6.640409280363423,4.794415866350106,5.656842495860286,3.755914696967196,5.684294074889061,6.570585532475478,5.241526253333541,5.1999305915104435,4.805044177135628
8,80,5,60,90,40,50,15,50,90,10,50,90,75,85,20,60,80,70,40,75,5.909893083770042,6.183407517560702,5.20945336562895,6.431547349789869,3.925758674183727,5.134426320220926,3.521250431695509,4.385032741040191,5.965921677647372,2.9777944367153872,4.743712426606791,6.204793422200632,3.9772799234999163,3.385721314642057,2.2450041182368192,5.186710366102626,6.267687043215174,3.681647936188155,3.6731695746632065,4.478636085175497
9,65,10,60,75,35,38,10,21,30,0,40,60,50,50,0,55,55,55,18,22,6.231221180711185,6.0805728302156465,5.20945336562895,6.6627107559955165,4.3361022374245195,5.5584207132686645,4.042783448111043,5.640801102397656,6.936708039099321,1.246220181834988,5.20130712692731,6.697125534562674,5.348728154231077,5.506275135937069,3.9550910050145505,5.372300798879736,6.673105185083313,4.798660596869802,5.119214181108779,4.952109347765011
10,64,17,60,75,35,30,15,25,35,0,40,60,55,50,2,50,55,50,10,25,6.250298417906333,5.923054560734609,5.20945336562895,6.6627107559955165,4.3361022374245195,5.7846348455575205,3.521250431695509,5.5202409029111115,6.876590029569037,1.246220181834988,5.20130712692731,6.697125534562674,5.159871336778389,5.506275135937069,3.755914696967196,5.536714904819353,6.673105185083313,5.037020488850096,5.418074519201315,4.805044177135628
11,85,50,30,95,50,35,10,55,90,1,60,90,70,80,5,80,80,50,60,50,5.7846348455575205,4.7905646046912205,6.066089190457772,6.3454580511041225,2.377807795990496,5.647458426454921,4.042783448111043,3.990431291151222,5.965921677647372,0.4564813210019876,4.0696735278068115,6.204793422200632,4.3750394313469245,3.9497312759357563,3.3936379675308124,4.03749611277172,6.267687043215174,5.037020488850096,2.905624518264527,1.563250244758661
12,70,20,60,75,38,35,14,21,33,1,44,57,59,50,3,52,49,47,16,25,6.1318569606087925,5.849899718282385,5.20945336562895,6.6627107559955165,4.104123911038084,5.647458426454921,3.6417297237152586,5.640801102397656,6.900938667868736,0.4564813210019876,5.035257324786331,6.738245827670121,4.9886846867721655,5.506275135937069,3.6449655285767033,5.473179588919274,6.755529584616939,5.163167281611146,5.1999305915104435,4.805044177135628
13,400,100,230,1500,80,140,10,100,680,0,110,900,130,167,5,167,800,130,90,60,8.023061249735335,4.496588870143054,7.0579917227591755,10.37061605898916,4.646884759143883,5.7846348455575205,4.042783448111043,4.8755721560656875,9.043694591402277,1.246220181834988,5.064293676796158,9.524519455173929,5.303780748177103,6.165869686164797,3.3936379675308124,6.146262233428755,9.329127909739006,5.567370000425351,5.228565563898006,2.8668706635260657
15,65,15,60,78,35,30,15,21,30,0,42,65,60,50,1,50,55,55,10,40,6.231221180711185,5.969841674192497,5.20945336562895,6.6193466291118135,4.3361022374245195,5.7846348455575205,3.521250431695509,5.640801102397656,6.936708039099321,1.246220181834988,5.1206698866402585,6.625874851354262,4.94251450533924,5.506275135937069,3.8589373723855913,5.536714904819353,6.673105185083313,4.798660596869802,5.418074519201315,3.6954581219552938
16,120,55,100,175,50,75,20,75,150,0,75,150,80,90,10,90,150,80,50,50,4.330916878114617,4.503095567567231,1.7004397181410922,0.39558513661265493,2.377807795990496,3.3398500028846247,2.69634757450372,2.1229275219051416,1.325359000287635,1.246220181834988,0.8413022539809456,3.7825515310570332,3.426264754702098,2.446812765562995,2.461951610615813,2.682864570160133,2.817229669992722,1.5017025220932683,1.4628789202557644,1.563250244758661
17,70,19,62,74,37,35,14,23,33,2,44,63,59,53,1,52,51,55,16,26,6.1318569606087925,5.874699121111669,5.129283016944966,6.676880572732345,4.185665486842486,5.647458426454921,3.6417297237152586,5.581779977531495,6.900938667868736,-1.4258848815158356,5.035257324786331,6.654798741553673,4.9886846867721655,5.407764112255521,3.8589373723855913,5.473179588919274,6.728574649033616,4.798660596869802,5.1999305915104435,4.7524911029783095
